code,name,price,ema10,ema20,ema50,market,volume
13320,ニッスイ,1053.0,1051.5659959183722,1050.5844262244584,1021.5831655942732,プライム,679000
135A0,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,2942.0,2722.586063066973,2656.0424565634366,2576.6520713604386,グロース,165000
13760,カネコ種苗,1779.0,1690.1377398335692,1615.229030733661,1518.8063545253708,スタンダード,27100
13770,サカタのタネ,3945.0,3802.1742892521443,3745.0648243841065,3659.3243639235757,プライム,201400
13810,アクシーズ,3065.0,3060.92659379218,3056.041039793847,3041.7211460327408,スタンダード,2200
14180,インターライフホールディングス,502.0,433.8337414559178,427.4526138167534,422.6515119048832,スタンダード,1708200
14440,ニッソウ,2817.0,2810.7919982879866,2789.218440347494,2745.1260573311415,グロース,400
14910,中外鉱業,937.0,893.7139804608173,732.6272761862124,443.85468811671217,スタンダード,102100
16630,Ｋ＆Ｏエナジーグループ,3270.0,3262.3659103927066,3244.107532891592,3183.9695627836054,プライム,79200
168A0,イタミアート,1400.0,1305.3585224551805,1272.7191620964331,1236.899674376596,グロース,174200
17120,ダイセキ環境ソリューション,1846.0,1745.0186600083298,1591.12731121893,1398.238206974305,スタンダード,56000
17430,コーアツ工業,1829.0,1826.4824255514077,1825.2453728589833,1792.2086127342477,スタンダード,7100
176A0,レジル,2734.0,2733.786579668848,2728.3978047132623,2608.064400280463,グロース,20300
17800,ヤマウラ,1431.0,1419.4579498251392,1418.8349405015251,1396.4897952983288,プライム,17100
17860,オリエンタル白石,428.0,425.30643933877394,424.7803355906654,417.55258836617014,プライム,152700
17880,三東工業社,4435.0,4351.511813727296,4263.395694484567,4135.159069845875,スタンダード,400
17990,第一建設工業,3220.0,3218.025676268974,3214.980603300017,3186.692499821865,スタンダード,6400
18010,大成建設,10740.0,10527.41797607036,10386.02564561018,9979.474077842298,プライム,599800
18020,大林組,2485.5,2426.982201759165,2424.1987203740787,2393.0530625012248,プライム,3786400
18110,錢高組,6750.0,6502.17716014587,6443.929054736384,6091.426276466084,スタンダード,19400
